text,labels,label_text
"Clings to the wall, doesn't flop around when a bag is pulled out, the mess of bags falling out is gone. </s> <not-counterfactual 3.6492726802825928> Hopes that it will keep it's shape after washing. </s> <counterfactual 4.012346267700195> ""\\\\\Had I reviewed this immediately I would have given this product five stars because It worked.""""""",0,not-counterfactual
"I like these jeans they sit low enough without being inappropriate when you sit or bend over. </s> <counterfactual 3.402600049972534> ""But oddly enough, the bottoms are a little too loose in the waist (37\) and could have used another inch or two in the inseam ( I normally take a 35\"""" or 36\"""" in jeans, depending on the brand if this helps)."""""" </s> <not-counterfactual 3.4201438426971436> These boxer-briefs are very soft, very comfortable, and fit like high-end underwear the likes of which you might get at, oh, say, Calvin Klein for example, but for about half the price.",0,not-counterfactual
He was very professional and wish all transactions I make through Amazon were this good. </s> <counterfactual 3.4319908618927> I wish I had had him as an instructor at college. </s> <not-counterfactual 4.054030895233154> I worried that it would be cheap or not fit or...whatever...But WOW!,0,not-counterfactual
"Well written with a twist I didn't expect. </s> <not-counterfactual 3.3257973194122314> ""The crossover from the characters from one novel to others keeps me interested; after all, I do hate to miss a \Dee-Ann or Eggie\"""" appearance."""""" </s> <counterfactual 3.6820030212402344> ""\\\\\Had I reviewed this immediately I would have given this product five stars because It worked.""""""",0,not-counterfactual
"Doesn't feel like the quality levi's I am used to. </s> <not-counterfactual 3.2773308753967285> However, the fabric is not that great, it's cheap scratchy cotton. </s> <counterfactual 3.746659755706787> The blanket is nice and soft but it is white, so if it doesn't light up it isn't much use!",0,not-counterfactual
"If we had wall studs, I believe the enclosed hardware would have been sufficient. </s> <counterfactual 3.4338643550872803> i wish the storage compartment was a little bigger and opened up instead of slidding on and off. </s> <not-counterfactual 3.9785308837890625> I worried that it would be cheap or not fit or...whatever...But WOW!",1,counterfactual
"If this ever turns into a film, I hope they do it justice! </s> <not-counterfactual 3.5291523933410645> ""The crossover from the characters from one novel to others keeps me interested; after all, I do hate to miss a \Dee-Ann or Eggie\"""" appearance."""""" </s> <counterfactual 3.751143217086792> ""\\\\\Had I reviewed this immediately I would have given this product five stars because It worked.""""""",1,counterfactual
"If you don't want a prominent display this rack is too large for most bed or living rooms, it is wider and taller than my tall Broyhill wardrobe style dresser which was the largest piece in the room until this shoe rack. </s> <not-counterfactual 3.865670680999756> ""It also validates \\\\\the incorrect\\\\\"""" assumption that we are alone in the feelings we suppress when we sense the complete garbage that is thrown out into society."""""" </s> <counterfactual 4.063361167907715> The blanket is nice and soft but it is white, so if it doesn't light up it isn't much use!",1,counterfactual
I wish I could have seen all of the places he recommends! </s> <counterfactual 3.5627076625823975> I wish I had had him as an instructor at college. </s> <not-counterfactual 4.141315937042236> I worried that it would be cheap or not fit or...whatever...But WOW!,1,counterfactual
"I wish I could replace just that small stupid piece, since there's nothing wrong with the rest of the hose assembly. </s> <counterfactual 3.6057372093200684> i wish the storage compartment was a little bigger and opened up instead of slidding on and off. </s> <not-counterfactual 4.064871311187744> I worried that it would be cheap or not fit or...whatever...But WOW!",1,counterfactual
