text,labels,label_text
"What rapper still relevant and popular today has the best rhyme schemes? </s> <insincere question 3.859471321105957> What would be a good nickname for Trump, Donald Dumbck, and President Spankovich? </s> <valid question 4.124274253845215> What are after class 12 courses in commerce stream to choose from? I have completed my class 12 (expexted 90+) and aim to do business (not aim to do job).",0,valid question
Which books do you suggest to someone who get a free time and will help him stay motivated? </s> <valid question 3.9509353637695312> What are the best online courses to learn data science? </s> <insincere question 4.300448417663574> What are the more steps in Career Oriented Education?,0,valid question
"How will you feel if someone talks badly about Kunti? </s> <insincere question 3.5063605308532715> Why are the UK government and the media (especially the BBC and the Guardian) demonising ordinary British people, manipulating buzz words like “alt-right”, “Islamaphobia”, “racist” to suppress legitimate outrage at Muslim grooming gangs? </s> <valid question 3.6699037551879883> How do Israelis and Palestinians view Nuseir Yassin?",0,valid question
"Why is equine HYPP inherited? </s> <valid question 4.066534996032715> Can you share some of the pics of hostel of Indira Gandhi medical college, Shimla, Himachal Pradesh? </s> <insincere question 4.231775760650635> I am an experienced programmer and in my high school my teacher tried to make me use python so I said, ""No; Trust me, python is just a language for beginners, thereby making it not for me."" I got sent out. Did I do anything wrong?",0,valid question
"How do the Valerie Stevens leather jackets achieve their quality during the manufacturing process? </s> <valid question 3.9721384048461914> How are the Lancaster leather sofas manufactured? </s> <insincere question 4.3559441566467285> I am an experienced programmer and in my high school my teacher tried to make me use python so I said, ""No; Trust me, python is just a language for beginners, thereby making it not for me."" I got sent out. Did I do anything wrong?",0,valid question
Is Ariana Grande really as mean and bitchy as she seems? </s> <insincere question 3.572277545928955> Why is Alia Bhatt so dumb? </s> <valid question 3.924571990966797> Do you agree with Congressman Steve King's comments on immigrant children in detention centers?,1,insincere question
Do you guys know that aliens are real and all those satellites we send up in space work as a sort of tracking device for them so in a few years it will be too late for Earth? </s> <insincere question 3.6094439029693604> Have you noticed how conservatives are capturing the English language and modifying the definitions of political words? </s> <valid question 3.6901655197143555> Do you agree with Congressman Steve King's comments on immigrant children in detention centers?,1,insincere question
"Is it politically incorrect to say female privilege, but it is a more accurate term to say, white female privilege? </s> <insincere question 3.323280096054077> Why are the UK government and the media (especially the BBC and the Guardian) demonising ordinary British people, manipulating buzz words like “alt-right”, “Islamaphobia”, “racist” to suppress legitimate outrage at Muslim grooming gangs? </s> <valid question 3.986680269241333> Do you agree with Congressman Steve King's comments on immigrant children in detention centers?",1,insincere question
"On Mother’s Day, is it reasonable to reflect there is some truth in the unfashionable notion than women are more driven by emotion and men more driven by reason? </s> <insincere question 3.499204158782959> Why are the UK government and the media (especially the BBC and the Guardian) demonising ordinary British people, manipulating buzz words like “alt-right”, “Islamaphobia”, “racist” to suppress legitimate outrage at Muslim grooming gangs? </s> <valid question 3.771740198135376> Do you agree with Congressman Steve King's comments on immigrant children in detention centers?",1,insincere question
"If the U.S. president is a role model, is it acceptable for children to say ""go fuck yourself,"" and use the word ""pussy"" to describe women? </s> <insincere question 3.497847080230713> Why are the UK government and the media (especially the BBC and the Guardian) demonising ordinary British people, manipulating buzz words like “alt-right”, “Islamaphobia”, “racist” to suppress legitimate outrage at Muslim grooming gangs? </s> <valid question 3.845909357070923> Do you agree with Congressman Steve King's comments on immigrant children in detention centers?",1,insincere question
